txn_id,ts,bank,upi_app,amount,status,failure_reason,processing_ms,retry,refund_time_min
T0000001,1764451380,SBI,BankApp,39.45,SUCCESS,,530,N,
T0000002,1764015840,SBI,PhonePe,42.4,SUCCESS,,360,N,
T0000003,1764287400,Kotak,AmazonPay,45.57,FAILED,insufficient_balance,218,N,37.0
T0000004,1764353280,ICICI Bank,PhonePe,20.53,SUCCESS,,324,N,
T0000005,1764082800,ICICI Bank,GooglePay,17.83,SUCCESS,,371,N,
T0000006,1764090360,Kotak,Paytm,49.93,SUCCESS,,218,N,
T0000007,1764188940,ICICI Bank,AmazonPay,12.21,FAILED,daily_limit_exceeded,193,N,
T0000008,1764004560,Kotak,AmazonPay,14.05,SUCCESS,,313,N,
T0000009,1764379140,Axis Bank,BankApp,24.45,FAILED,network_issue,451,Y,
T0000010,1764240660,Kotak,AmazonPay,47.7,SUCCESS,,271,N,
T0000011,1764197040,HDFC Bank,PhonePe,33.65,SUCCESS,,462,N,
T0000012,1764148740,Kotak,BankApp,14.91,SUCCESS,,370,N,
T0000013,1764209520,ICICI Bank,AmazonPay,38.04,SUCCESS,,290,N,
T0000014,1764537120,SBI,PhonePe,38.75,FAILED,network_issue,250,N,67.0
T0000015,1764445740,ICICI Bank,GooglePay,17.97,SUCCESS,,275,N,
T0000016,1763999700,ICICI Bank,BankApp,21.88,FAILED,unknown_error,92,N,
T0000017,1764356160,Axis Bank,BankApp,40.12,SUCCESS,,281,N,
T0000018,1763950920,ICICI Bank,BankApp,27.17,SUCCESS,,471,N,
T0000019,1764020340,Kotak,AmazonPay,21.16,SUCCESS,,315,N,
T0000020,1764197040,ICICI Bank,GooglePay,40.62,SUCCESS,,620,N,
T0000021,1764194340,HDFC Bank,Paytm,34.3,SUCCESS,,51,N,
T0000022,1764181320,Kotak,BankApp,45.79,SUCCESS,,164,N,
T0000023,1764539400,Axis Bank,PhonePe,44.21,SUCCESS,,402,N,
T0000024,1764108540,SBI,BankApp,40.62,SUCCESS,,300,N,
T0000025,1764113820,SBI,Paytm,19.98,SUCCESS,,380,N,
T0000026,1764275520,ICICI Bank,PhonePe,37.08,SUCCESS,,566,N,
T0000027,1764370920,ICICI Bank,AmazonPay,25.34,SUCCESS,,313,N,
T0000028,1764194460,Axis Bank,Paytm,22.35,SUCCESS,,613,N,
T0000029,1764362520,ICICI Bank,BankApp,40.3,SUCCESS,,481,N,
T0000030,1764028500,ICICI Bank,GooglePay,19.28,SUCCESS,,120,N,
T0000031,1764192840,Kotak,AmazonPay,30.02,SUCCESS,,461,N,
T0000032,1764097200,Axis Bank,Paytm,36.69,SUCCESS,,406,N,
T0000033,1764537420,HDFC Bank,GooglePay,51.13,SUCCESS,,453,N,
T0000034,1764358620,Axis Bank,Paytm,46.53,SUCCESS,,168,N,
T0000035,1764361620,Axis Bank,GooglePay,16.67,SUCCESS,,336,N,
T0000036,1764084120,Axis Bank,BankApp,42.28,SUCCESS,,505,N,
T0000037,1764124920,Axis Bank,GooglePay,21.16,SUCCESS,,420,N,
T0000038,1764009660,Axis Bank,Paytm,32.54,SUCCESS,,251,N,
T0000039,1764227040,ICICI Bank,GooglePay,51.8,FAILED,network_issue,375,N,
T0000040,1764473160,Axis Bank,BankApp,17.17,SUCCESS,,394,N,
T0000041,1764306540,SBI,AmazonPay,44.92,FAILED,unknown_error,555,N,
T0000042,1764187140,HDFC Bank,Paytm,21.67,SUCCESS,,177,N,
T0000043,1764105060,ICICI Bank,AmazonPay,45.92,SUCCESS,,325,N,
T0000044,1764267960,ICICI Bank,BankApp,11.64,SUCCESS,,411,N,
T0000045,1764147900,Axis Bank,BankApp,15.4,SUCCESS,,461,N,
T0000046,1764187380,Axis Bank,Paytm,27.14,SUCCESS,,523,N,
T0000047,1764437400,Kotak,Paytm,13.81,SUCCESS,,349,N,
T0000048,1764391680,Axis Bank,Paytm,39.24,SUCCESS,,234,N,
